Date,mean_variance,risk_parity,max_diversification,black_litterman,equal_weight
2019-12-20,0.013153929353927224,0.004382271177127706,0.004281890910704175,0.002374623144742331,0.004382271177127706
2019-12-23,0.014004605427486286,0.005468123994482843,0.0035795964695691193,0.004388179134484625,0.005468123994482843
2019-12-24,-0.005068463407606919,-0.0011303938993429737,0.000567499470501687,-0.0051831823298893395,-0.0011303938993429737
2019-12-25,0.0149606832534425,0.004411816252840861,0.005900077412954813,0.0027418762261033434,0.004411816252840861
2019-12-26,-0.000785181198964661,-0.0009531159256020104,-0.0019998490203004963,0.0028284953772919706,-0.0009531159256020104
2019-12-27,-0.011520362159222731,-0.004461794954950427,-0.003872783085526071,-0.004572776240003233,-0.004461794954950427
2019-12-30,-0.010629666257252873,-0.003219872498584464,3.595622141205532e-05,0.0010930246171304155,-0.003219872498584464
2019-12-31,4.2478020241830654e-05,0.013353460978260246,0.0111597987205376,0.01716172743037317,0.013353460978260246
2020-01-01,-0.009409291220086163,-0.0017821566183036323,0.0006770009955436099,-0.003475506847886085,-0.0017821566183036323
2020-01-02,-0.01771335789101521,-0.005612014837944158,-0.0034061977179810645,-0.0029415186916799257,-0.005612014837944158
2020-01-03,0.019710300116690647,0.006464070588585846,0.004913612726746919,0.0017633899165995135,0.006464070588585846
2020-01-06,0.0019514285958939746,0.0004489863643014624,-0.00043600310926826286,0.00039072112871748417,0.0004489863643014624
2020-01-07,0.0084031943764009,0.002891308683052229,0.0010878893432505323,0.004073816913273532,0.002891308683052229
2020-01-08,0.0050957777636480624,0.002188349995858596,0.0020938474341256445,-0.00016110294055310078,0.002188349995858596
2020-01-09,0.007329318587916377,0.008713120572350075,0.009849949728020866,0.010455902971546253,0.008713120572350075
2020-01-10,-0.01021100280606748,-0.005525910628458842,-0.0003500156540374752,-0.008710524667788351,-0.005525910628458842
2020-01-13,-0.025606672905888497,-0.0076856060031000204,-0.004867923931601861,-0.006980338423340289,-0.0076856060031000204
2020-01-14,0.015442002283070829,0.007022093796585072,0.004422558435092736,0.008455616207890475,0.007022093796585072
